county_FIPS,phase,iteration,alpha_old,beta_old,alpha_new,beta_new,forward_mean,T_target_c,T_c,N_c,R_c,r_frac,f_target,calib_target_source,bias_pct,adjustment_direction,converged
06099,2,0,5.5451,1.4549,5.5451,1.4549,204970.3,210546.0,210546.0,201026,9520,0.6999,0.8645,acs,-0.026482,P95_check_pass=True,True
06101,1,1,2.0,5.0,4.024,2.976,11584.7,34560.6,39964.0,39731,233,0.5753,0.864,acs,-0.6648,increase,False
06101,1,2,4.024,2.976,5.036,1.964,23072.6,34560.6,39964.0,39731,233,0.5753,0.864,acs,-0.3324,increase,False
06101,1,3,5.036,1.964,5.542,1.458,28816.6,34560.6,39964.0,39731,233,0.5753,0.864,acs,-0.1662,increase,False
06101,1,4,5.542,1.458,5.542,1.458,31688.6,34560.6,39964.0,39731,233,0.5753,0.864,acs,-0.0831,within_band,True
06101,2,0,5.542,1.458,5.542,1.458,38855.5,39964.0,39964.0,39731,233,0.5753,0.864,acs,-0.027737,P95_check_pass=True,True
06103,1,1,2.0,5.0,3.2435,3.7565,12732.7,27438.0,42297.0,41390,907,0.5852,0.641,acs,-0.535946,increase,False
06103,1,2,3.2435,3.7565,3.8652,3.1348,20085.4,27438.0,42297.0,41390,907,0.5852,0.641,acs,-0.267973,increase,False
06103,1,3,3.8652,3.1348,4.1761,2.8239,23761.7,27438.0,42297.0,41390,907,0.5852,0.641,acs,-0.133986,increase,False
06103,1,4,4.1761,2.8239,4.1761,2.8239,25599.8,27438.0,42297.0,41390,907,0.5852,0.641,acs,-0.066993,within_band,True
06103,2,0,4.1761,2.8239,4.1761,2.8239,36703.7,42297.0,42297.0,41390,907,0.5852,0.641,acs,-0.13224,P95_check_pass=True,True
06105,1,1,2.0,5.0,3.15,3.85,3835.4,8200.4,13324.0,13284,40,0.4348,0.6143,acs,-0.532285,increase,False
06105,1,2,3.15,3.85,3.7251,3.2749,6017.9,8200.4,13324.0,13284,40,0.4348,0.6143,acs,-0.266143,increase,False
06105,1,3,3.7251,3.2749,4.0126,2.9874,7109.1,8200.4,13324.0,13284,40,0.4348,0.6143,acs,-0.133071,increase,False
06105,1,4,4.0126,2.9874,4.0126,2.9874,7654.7,8200.4,13324.0,13284,40,0.4348,0.6143,acs,-0.066536,within_band,True
06105,2,0,4.0126,2.9874,4.0126,2.9874,11306.9,13324.0,13324.0,13284,40,0.4348,0.6143,acs,-0.151389,P95_check_pass=True,True
06107,1,1,2.0,5.0,3.6695,3.3305,63463.9,151184.9,194826.0,183907,10919,0.8447,0.7627,acs,-0.580223,increase,False
06107,1,2,3.6695,3.3305,4.5042,2.4958,107324.4,151184.9,194826.0,183907,10919,0.8447,0.7627,acs,-0.290112,increase,False
06107,1,3,4.5042,2.4958,4.9215,2.0785,129254.6,151184.9,194826.0,183907,10919,0.8447,0.7627,acs,-0.145056,increase,False
06107,1,4,4.9215,2.0785,4.9215,2.0785,140219.7,151184.9,194826.0,183907,10919,0.8447,0.7627,acs,-0.072528,within_band,True
06107,2,0,4.9215,2.0785,4.9215,2.0785,182170.8,194826.0,194826.0,183907,10919,0.8447,0.7627,acs,-0.064957,P95_check_pass=True,True
06109,1,1,2.0,5.0,3.0594,3.9406,16728.0,31445.2,51458.0,48622,2836,0.8843,0.5884,acs,-0.468027,increase,False
06109,1,2,3.0594,3.9406,3.5891,3.4109,24086.6,31445.2,51458.0,48622,2836,0.8843,0.5884,acs,-0.234013,increase,False
